source,target,value
Sasuke,forGaara,3
Sasuke,asSasuke,3
Bunzo,Tsunade,3
I-Ibiki,Morino,3
Lee,Narutosome,3
Grandma,Tsunade,3
Grandma,Kiba,3
Owashi,Sagiby,3
Orochimaruwas,Tsubaki,3
Ebisu,Harem,3
Dosu,Sasuke,3
Bushy,Karashi,3
Lee,Leeas,3
Lee,Sasukedrove,3
Bushy,Orochimaru,3
Lee,Ranmaru,3
Lee,Raiga,3
Lee,Raido,3
Humph,Uchiha,3
Lee,Todoroki,3
Naruto,Zabuza?!Hey,3
Naruto,Yamanaka,3
Gosunkugi,Shinobi,3
Naruto,copiesZabuza,3
Naruto,andNaruto,3
Bushy,Yagura,3
Bushy,Uchiha,3
Bushy,Tsunada,3
Bushy,Shikamaru,3
Sasuke,Uzumaki,3
Sasuke,Tsukuyomi,3
Humph,Shikamaru,3
Humph,Rasengan,3
Lee,usethis,3
Lee,methat,3
Demon,Sasuke,3
Pakkun,Sasuke,3
Pakkun,Sakura,3
Owwee,Shikamaru,3
Owashisearching,the,3
Dojo,methat,3
Dojo,Rock,3
Dojo,Might,3
Sasuke,Transform,3
Bushy-Brow,Lee,3
Lion,Naruto,3
Lightning,the,3
Byakugan,Gosunkugi,3
Byakugan,Gosa,3
Byakugan,Genno,3
Lightning,head,3
Sasuke,Sasukethat,3
Naruto,Yagura,3
Naruto,Tyson,3
Guy,Humph,3
Guy,Hokage,3
Sasuke,Sasukein,3
Byakugan,Lee,3
Byakugan,Leaf,3
Byakugan,Kayo,3
Byakugan,Ichiraku,3
Hoshikage,The,3
Hoshikage,Natsuhiboshi,3
Byakugan,Rasengan,3
Byakugan,Owashi,3
Byakugan,Lightning,3
Menma,Menmalike,3
McCoy,Toki,3
Cursed,the,3
Pervy,This,3
Guy,Kisame,3
McCoy,Naruto,3
Sasame,Sasamesee,3
Matsuri,Naruto,3
Mi,Saru,3
Hoki,the,3
Byakugan,Sazanami,3
Menma,Shikamaru,3
Menma,Sasuke,3
Mi,saru,3
Mi,Ushi,3
Saru,lnu,3
Saru,U,3
Saru,Tora,3
Naruto,Todorokiis,3
Naruto,Tsuzumi,3
Guy,feelingKakashi,3
Daimyo,Sasuke,3
Mi,Tatsu,3
Hokage,Zabuza,3
Hokage,The,3
Hokage,Tazuna,3
Hokage,Sumaru,3
Hokageall,Naruto,3
Hokage,–,3
Hokage,methat,3
Misogi,the,3
Chakra,Gaara,3
Cha,Sakura,3
Ranmaru,Sansho,3
Guy,gettingRokusuke,3
Guy,Yagurathat,3
Guy,Temari,3
Raiga,Zabuza,3
Crow,Gaara,3
Saru,Sarutobi,3
Sand,Temari,3
Mizuki,Ninjareally,3
Mizukiand,Orochimaru,3
Mizuki,withNaruto,3
Mizuki,whereSasuke,3
Mizuki,aboutMizuki,3
Chakra,Sasuke,3
Chakra,Sakura,3
Sakura,whereSasuke,3
Hokage,Sensei,3
Chakrain,Tsunade,3
Chakrahe,Sarutobi,3
Sakura,on,3
Hanabi,Hyuga,3
Haku,melike,3
Haku,Tazuna,3
Rasengan,Shikamaru,3
Cricket,Genno,3
Sakura,alsoSasuke,3
Hokage,Nine-Tail,3
Hokage,Hoshikage,3
Hokage,Hokageall,3
Hizashi,thatHizashi,3
Hokage,Lee,3
Hokage,Kazekage!What,3
Chunin,celebrateShikamaru,3
Chunin,Yakumo,3
Hanzaki,Tsunade,3
Hanzaki,The,3
Haku,Kekkei,3
Haku,Inari,3
Hokage,Jirocho,3
Chakras,Sasuke,3
Chidori,Lightning,3
Chidori,Jutsu,3
Chidori,Itachi,3
Sakura,Yagura,3
Moegi,Sasuke,3
Sakura,Tsunade's,3
Chidori,that,3
Chunin,Moegi,3
Rasengan,Sumaru,3
Harem,Sasuke,3
Ranmaru,aboutKarashi,3
Ranmaru,Tenten,3
Chunin,theseChunin,3
Chidori,Rasengan,3
Hitsuji,lnu,3
Hitsuji,U,3
Hitsuji,Tora,3
Chidorito,Naruto,3
Sakura,Tori,3
Hinatawith,Naruto,3
Hinatas,Naruto,3
Moso,Sagiwas,3
Moso,Owashiand,3
Naruto,Narutowill,3
Chunin,Kabuto,3
Chunin,Itachi,3
Chunin,Hyuga,3
Chunin,Humph,3
Hanzaki,Sakura,3
Rasengan,the,3
Chunin,Rock,3
NARUTO,Sasuke,3
Murakumoof,Yakumo,3
Murakumoand,Yakumo,3
Hinata,Yurinoshin,3
Sakur--,Sasuke,3
Sakur--,Sakura,3
Hinata,withNaruto,3
Hinata,whereSasuke,3
Hinata,whenHinata,3
Naruto,Ninjathat,3
Sagiwho,the,3
Sagitook,the,3
Sagitook,Toki,3
Hatake,Kakashi,3
Harem,Naruto,3
Chunin,Konohamaru,3
Chunin,Kazekage,3
Choji,Guy,3
Choji,Fujin,3
Hinata,andShino,3
Choji,Janin,3
Sagiby,the,3
Naruto,Ninjutsuno,3
Hinata,Hinataever,3
Hinata,Kikusuke,3
Chunin,Kurenai,3
Naruto,Ruigaand,3
Naruto,Rokusuke,3
Hayate,Sound,3
Haruna,Tsunade,3
Hayate,Humph,3
Choji,Kurenai,3
Hinata,Kakashi,3
Hinata,Renga,3
Hinata,Rasengan,3
Hinata,Orochimaru,3
Choji,Ryonin,3
Choji,Rock,3
Sagi,That,3
Sagi,Sasuke,3
Sagi,Sand,3
Sagi,Sagiwas,3
Hinata,Hinatawould,3
Hiashi,thatHizashi,3
Sagi,Sagidoes,3
Ryonin,Shinobi,3
Roger,Sumaru,3
Chunin,Hinata,3
Chunin,Hayate,3
Chojiand,Sasuke,3
Sage,Sasuke,3
Choji,Tunneling,3
Naruto,Orochimaruever,3
Naruto,Oli,3
Rokkaku,Yagura,3
Hayate,Orochimaruis,3
Hayate,Kabuto,3
Gaara,Ninja,3
Gaara,Uma,3
Kakashi,Obito,3
fatso,on,3
Zabuza,copiesZabuza,3
Kakashi,Sakuraare,3
-Lord,Natsuhiboshi,3
A,Hayate,3
whereSasuke,withNaruto,2
A,Gekko,2
A,Anko,2
-Lord,Sumaru,2
killedlruka,the,2
inu,saru,2
Yuhi,powersYakumo,2
Yuhi,sealedYakumo,2
Yurinojou,Yurinoshin,2
Zabuzahad,the,2
Zaku,aboutDosu,2
branch,head,2
Kakashi,Tsurugi,2
Ninjafrom,the,2
Gaara,Mi,2
Gaara,Lotus,2
Gaara,Lightning,2
Ninjaby,Tsunade,2
Kakashi,Konohamaru,2
Kakashi,sandKakashi,2
Kakashi,byKakashi,2
Kakashi,andSasuke,2
A,Sensei,2
A,Naruto,2
Yoroi,forgottenOrochimaru,2
Yakumo,madeYakumo,2
Yakumo,isKurenai,2
Kakashi,–,2
Kakashi,underZabuza,2
Naruto,Old,2
Choji,–,2
Choji,the,2
Choji,me,2
Choji,lno,2
Choji,fatso,2
Choji,celebrateShikamaru,2
Choji,anyonewho,2
Rokusuke,Sasuke,2
Rokkaku,Ryudouin,2
Naruto,Pervert,2
Naruto,Pakkun,2
Naruto,PLACECHOJI,2
Hinata,Hinataand,2
Hidden,Sumaru,2
Hidden,Neji,2
Sagi,Sagiby,2
Hayate,myselffor,2
Naruto,Rasengen,2
Naruto,Ramen,2
Naruto,Raijin,2
Ruiga,Yurinojou,2
Ru,–,2
Rokusuke,timeto,2
Chojiand,Ino,2
Chunin,Hanabi,2
Chunin,Daimyo,2
Rock,Yagura,2
Choji,Teuchi,2
Choji,Shun,2
Naruto,Orochimaruto,2
Naruto,Ole,2
Hinata,Kamizuru,2
Hinata,Ruigaand,2
Hinata,Rock,2
Hinata,Iruka,2
Choji,Sand,2
Choji,Orochimaru,2
Sagi,The,2
Sagi,Shuriken,2
Sagi,Sagiwho,2
Sagi,Sagitook,2
Hinata,Hinatas,2
Hinata,Hinatais,2
Hiashi,–,2
Hiashi,Tyson,2
Naruto,Owwee,2
Naruto,Owashi,2
Sagi,a,2
Sagi,Tsunade,2
Choji,Nejior,2
Choji,Nejiin,2
Choji,Narutowill,2
Rock,Tenten,2
Rock,Shino,2
Rock,Shikamaru,2
Naruto,Ru,2
Naruto,Rogue,2
Haruna,by,2
Haruna,Ruigaand,2
Haruna,Jutsu,2
Haruna,Jiga,2
Hayate,Hokage,2
Choji,Kikusuke,2
Chishimawho,Sagi,2
Naruto,Ne,2
Hinata,beShino,2
Chishimawho,Owashi,2
Choji,Jutsu,2
Choji,Jirobo,2
Choji,Jiga,2
Choji,Ino-Shika-Cho,2
Choji,Ichiraku,2
Sagitook,Sagiwho,2
Hinata,Mark,2
Hinata,Lightning,2
Hinata,Temari,2
Hinata,Shadow,2
Hinata,Sazanami,2
Hinata,Sand,2
Sagiwas,the,2
Hatake,Sagi,2
Harutaro,Lee,2
Harunato,Naruto,2
Harunahide,Kikunojou,2
Harunahide,Janin,2
Naruto,Sage,2
Rogue,Zabuza,2
Roger,Tenten,2
Naruto,Sasukewhile,2
Naruto,Sasukein,2
Chunin,Kibaand,2
Chunin,Kiba,2
Choji,Fifth,2
Choji,Cricket,2
Cho,Han,2
Nanafushi,Naruto,2
Hinataare,Shino,2
Hinataare,Neji,2
Murakumo,Naruto,2
Hinata,andKurenai,2
Sakura,Sasukedrove,2
Sakura,Saru,2
Sakura,Sakurawas,2
Chishimawho,Naruto,2
Chishima,the,2
Chishima,The,2
Sakon,Ukon,2
Hinata,reallyOrochimaru,2
Hinata,on,2
Naruto,Ninjas,2
Sagiwho,Toki,2
Hinata,me,2
Hinata,lno,2
Naruto,Narutowhat,2
Sakura,Shinobi,2
Chishima,Sand,2
Chunin,Kakashi,2
Rasengen,Sakura,2
Naruto,Sansho,2
Naruto,Sanninas,2
Naruto,Sanchez,2
Hanzaki,Sasuke,2
Hanzaki,Orochimarufor,2
Chunin,Orochimaruis,2
Chunin,Ninjas,2
Chishima,Kakashi,2
Chikara,Naruto,2
Chidori,Sakuraare,2
Chidori,Sakura,2
Hitsuji,Sasuke,2
Hitsuji,Sakura,2
Hitsuji,Naruto,2
Moso,That,2
Moso,Tenten,2
Chief,Jiraiya,2
Chidorito,Sasuke,2
Chidorior,Sakura,2
Chidorior,Rasengan,2
Sakura,That,2
Sakura,Tayuya,2
Hitsuji,Jutsu,2
Monju,Todoroki,2
Hinata,meanShino,2
Hokage,Ino,2
Sakura,Uzumaki,2
Sakura,Unkai,2
Sakura,Tsuzumi,2
Sakura,Transform,2
Chidori,Uchiha,2
Chunin,Nejiin,2
Chunin,Neji,2
Hanzaki,Jiraiyato,2
Hanzaki,Hanzakior,2
Haruna,Harunato,2
Harem,–,2
Rasengan,Sasame,2
Ranmaru,everyonethan,2
Chunin,ofJonin,2
Chunin,kickedBushy,2
Hokage,Jiga,2
Mizura,Tenten,2
Mizura,Ninja,2
Mizukiwas,Tsunade,2
Mizukiwas,Orochimaruwere,2
Chakrayou,Naruto,2
Monju,Ninja,2
Mondai,The,2
Sakura,Zaku,2
Sakura,Yuhi,2
Chidori,Lee,2
Chidori,Ino,2
Sakura,Ya,2
Mondai,Poccha,2
Moegi,village!Konohamaru,2
Mizura,Tsunade,2
Mizukibecause,Orochimaru,2
Hokage,Proctor,2
Hokage,Neji,2
Hokage,Ibiki,2
Hokage,Kurenai,2
Chunin,Third,2
Chunin,Sound,2
Cricket,Yagura,2
Naruto,Shikamarugave,2
Naruto,Senta,2
Hakkaku,Teuchi,2
Naruto,Third,2
Naruto,Tayuya,2
Naruto,Tatsu,2
Naruto,Shugoro,2
Hokage,Kage,2
Sakura,howNaruto,2
Hanabi,Kibaand,2
Hanabi,Hinataunder,2
Hana,Naruto,2
Haku,the,2
Haku,Uchiha,2
Guyand,Neji,2
Guyand,Naruto,2
Guy,the,2
Guy,mewith,2
Guy,mewho,2
Cricket,Lee,2
Sakura,beShino,2
Sakura,askKurenai,2
Mizukiwas,Orochimaru,2
Mizukiwas,Naruto,2
Sannin,Tsunadewho,2
Sannin,This,2
Sand,Tenten,2
Mizuki,Nara,2
Hokage,byKakashi,2
Hokage,Mizuki,2
Sand,Sasuke,2
Sanchez,Shikamaru,2
Chakraeven,Jirobo,2
Chakraeven,Choji,2
Sakurawas,Sasuke,2
Hokage,Sannin,2
Mizuki,Shizune,2
Sakura,meanShino,2
Sakura,lruka,2
Sakura,isSasuke,2
Mizuki,Rasengan,2
Mizuki,Orochimaruwere,2
Mizuki,Orochimaruwas,2
Mizuki,Orochimarujust,2
Cha,–,2
Claw,Fang,2
Chunins,Shinobi,2
Chunin,worthy,2
Raijin,andRaijin,2
Raijin,Ton,2
Raijin,Sannin,2
Raigaover,Ranmaru,2
Raiga,everyonethan,2
Crow,Naruto,2
Crow,Kankuro,2
Sanninas,Tsunade,2
Cha,Kakashi,2
CHOJI,Naruto,2
Byakuganor,Shikamaru,2
Byakuganor,Sasuke,2
Byakuganat,Pervy,2
Byakuganat,Neji,2
Mi,U,2
Mi,Tora,2
Hokage,becomeHokage,2
Hokage,Yurinojou,2
Hokage,That,2
Hokagein,Naruto,2
Hokage,on,2
Mizuki,Mizukiand,2
Mizukage,Sharingan,2
Mi,ushi,2
Sarutobi,The,2
Sarutobi,Second,2
Mi,lnu,2
Mi,hitsuji,2
Raiga,Sasuke,2
Raiga,Sakura,2
Raiga,Rokusukewas,2
Naruto,Tonton,2
Naruto,Tokichi,2
Naruto,This,2
Guyand,Yagura,2
Guyand,Tenten,2
Naruto,Tunneling,2
Guy,Sand,2
Guy,Ryudouin,2
Daimyo,Kazekage,2
Naruto,Yakitori,2
Sasame,protectingOrochimaru,2
Sasame,outPervy,2
Byakugan,Zaku,2
Byakugan,Unkai,2
Byakugan,Tsunade,2
Mark,Sound,2
Hoki,Ninja,2
Hoki,Naruto,2
Hoki,Kakashi,2
Menma,right?Menma,2
Byakugan,The,2
Byakuganat,Naruto,2
Byakuganat,Hinata,2
Byakuganand,Shikamaru,2
Byakuganand,Naruto,2
Hokuto,The,2
Hokuto,Natsuhi,2
Menma,Menma.lf,2
McCoy,Tsunade,2
C’m,on,2
Proctor,Shino,2
Pop,Sakura,2
Poccha,The,2
Pervy,miso,2
Guy,Zabuza,2
Guy,Yuhi,2
Owashisearching,Toki,2
Guy,Nanafushiimmediately,2
Guy,Mondai,2
Guy,Kiba,2
Naruto,Yakumoto,2
Sasuke,Sasukeis,2
Byakugan,Kujaku,2
Byakugan,Kibaand,2
Hoshikage,the,2
Mark,Sasuke,2
Mark,Orochimaruis,2
Hoshikage,Mizura,2
Hoshikage,Hoshikageof,2
Hokuto,the,2
Byakugan,Hinataare,2
Byakugan,Pervy,2
Byakugan,Ninja,2
Sasu,Uchiha,2
Mangekyo,Shisui,2
Manda,Shizune,2
Menma,Orochimaruonce,2
Humph,Ino,2
Sasuke,Sasukewhile,2
Sasuke,Sasukeusing,2
Sasuke,Sasuketo,2
Pervy,Shizune,2
Pervy,Shikamaru,2
Demon,Iruka,2
Darudo,Naruto,2
Dan,Orochimaru,2
Dan,Nawakiand,2
Pervy,Sarutobi,2
Guy,Guyand,2
Grandson,Transform,2
Grandpa,–,2
Dojo,Guy,2
Demon,Zabuza,2
Sasuke,Tiger,2
Sasuke,Third,2
Sasuke,Tenten,2
Sasuke,Summo,2
Hoshikage,methe,2
Humph,Konohamaru,2
Ma,Naruto,2
Sasuke,Shirker,2
Byakugan,Byakuganat,2
Bushy-Brow’s,Sasuke,2
Bushy-Brow’s,Kekkei,2
Lightning,Ninja,2
Lens,Naruto,2
Humph,Shinobi,2
Manda,Naruto,2
Mai,Tsukiko,2
Sasuke,Ushi,2
Sasuke,Uma,2
Humph,Sarutobi,2
Lee,tim,2
Lee,me,2
Pakkun,Shikamaru,2
Pa,Shikamaru,2
PLACECHOJI,~FATSO,2
Owwee,Sakura,2
Naruto,aboutNaruto,2
Naruto,aboutMizuki,2
Dojo,Nanafushi,2
Owashisearching,Sagiwho,2
Bushy-Brows,Gantetsu,2
Bushy-Brow's,Kekkei,2
Bushy-Brow,Naruto,2
Lee,Shizune,2
Bushy,methat,2
Bushy,fromSakura,2
Bushy,andSasuke,2
Owashisearching,Sagitook,2
Owashisearching,Sagi,2
Owashiand,the,2
Owashiand,Sagi,2
Naruto,Zu,2
Naruto,Yogabut,2
Guy,Itachiwho,2
Gosunkugi,The,2
Naruto,celebrateShikamaru,2
Naruto,by,2
Naruto,askKurenai,2
Bushy,The,2
Sasuke,andSasame,2
Sasuke,afterSasuke,2
Sasuke,aboutNaruto,2
Sasuke,aboutDosu,2
Sasuke,Tsubaki,2
Lee,Sasukeon,2
Hyuga,Sasuke,2
Hyuga,Mark,2
Hyuga,Leaf,2
Humph,overSasuke,2
Sasuke,Yashamaru,2
Sasuke,Vendetta,2
Bushy,Rock,2
Bushy,Might,2
Bushy,Matsuri,2
Humph,Tenten,2
I,d,2
I,Yakumo,2
Hyuga,head,2
Naruto,andKurenai,2
Grandpa,methat,2
Grandpa,Tsunade,2
Grandpa,That,2
Grandfather,Tsunade,2
Grandfather,Nawaki,2
Grandfather,Naruto,2
Orochimaruwere,Tsunade,2
Orochimaruwas,Sasuke,2
Doubtless,Kabuto,2
Lee,Mizura,2
Bushy,Konohamaru,2
Bushy,Gantetsu,2
Idate,Wasabi,2
L,Sansho,2
L,Lee,2
Kurosuki,Tsunade,2
Leaves,Third,2
Leaffor,Sand,2
Leaf,head,2
Ibiki,lbiki,2
Ibiki,Jiraiya,2
Leaf,Yakumo,2
Leaf,Toki,2
Bunzo,Shugoro,2
Bunzo,Sentaif,2
Bunzo,Naruto,2
Lee,Poccha,2
I-Ibiki,Idate,2
Bunzo,Jirocho,2
Buddy,Kiba,2
Leaf,Pervy,2
Idate,Jonin,2
Orochimaruto,Tsunade,2
Orochimaruis,Tsunade,2
Gosunkugiwith,Tokichi,2
Gosunkugi,the,2
Gosunkugi,Torpedo,2
Gosunkugi,Tokichiis,2
Genno,abouthis,2
Genno,Tenten,2
Naruto,himeven,2
Naruto,him,2
Leader,Naruto,2
Inari,Jutsuto,2
Sasuke,withNaruto,2
Sasuke,whereSasuke,2
Sasuke,whatKazekage,2
Sasuke,toOrochimaru,2
Sasuke,thatSasuke,2
Injure,Lee,2
Kurosuki,Sasuke,2
Bro,Moegi,2
Bro,Hokage,2
Bounty,Tokichi,2
Bounty,Gatsu,2
Sasuke,that,2
Sasuke,ofOrochimaru,2
Sasuke,letOrochimaru,2
Sasuke,kickedBushy,2
Kurenaiwith,Yakumo,2
Enma,Humph,2
Enma,Hokage,2
Ino,Rock,2
Ino,Pervy,2
Ino,Paradise,2
Ino-Shika-Cho,Naruto,2
Ino,saru,2
Ino,inu,2
Ino,Tsuchi,2
Kurenaidetermined,The,2
Kurenai,–,2
Kurenai,whomMurakumo,2
Ino,Ninja,2
Ino,Neji,2
Ino,Kurenai,2
Boss,–,2
Ino,Temari,2
Ino,Sign,2
Ino,Sensei,2
Ino,Sakurawas,2
Naruto,entireKagetsu,2
Naruto,eitherOrochimaru,2
Gosunkugi,Hidden,2
Gosa,–,2
Gosa,the,2
Gonta,Hokage,2
Grampa,Mommy,2
Orochimaruduring,Tayuya,2
Orochimaruduring,Sasuke,2
Orochimaruand,Sasuke,2
Enma,Orochimaru,2
Enma,Konohamaru,2
Genno,Gennothe,2
Iruka,Jiraiya,2
Iruka,Irukawas,2
Kurenai,aboutYakumo,2
Bikochu,Kurobachi,2
Ino,Tenten,2
Senbons,Shikamaru,2
Sazanami,Tokichi,2
Sazanami,Shinobi,2
Black,Crow,2
Bikochu,ofSasuke,2
Bikochu,locateSasuke,2
Bikochu,Shinoas,2
Kurenai,isKurenai,2
Inari,Zabuza,2
Inari,Tazuna,2
Inu,Sakura,2
Inu,Naruto,2
Inu,Jutsu,2
Intense,Naruto,2
Ino-Shika-Cho,Shikamaru,2
Iruka,Jiraiyacould,2
Ebisu,the,2
Ebisu,Sasuke,2
Ebisu,Sakura,2
Ebisu,Hokage,2
Naruto,isShikamaru,2
Genno,forGenno,2
Genjutsu,Sakura,2
Naruto,takeSasuke,2
Naruto,sureto,2
Genno,Ichiraku,2
B-Bushy,Bushy,2
Shikamaru,Yogabut,2
Bikochu,Kurenai,2
Bikochu,Jibachi,2
Bikochu,Hokage,2
Bikochu,Genin,2
Bikochu,Byakugan,2
Beeswax,Naruto,2
Sensei,Yuhi,2
Sensei,The,2
Iruka,Obito,2
Iruka,Kurenai,2
Iruka,Kiba,2
Kurenai,Shikamaru,2
Sharingan,ushi,2
Inu,Sasuke,2
Iruka,myselffor,2
Iruka,isNaruto,2
Iruka,aboutMizuki,2
Iruka,Udon,2
Kurenai,Kurenaiwith,2
Sharingan,theHyuga,2
Sharingan,saru,2
Sharingan,copiesZabuza,2
Shadow,Tsunade,2
Senta,Tsunade,2
Senta,Shugoro,2
Sensei,sealedYakumo,2
Sensei,Zabuza,2
Baki,Kazekage,2
Baki,Gaara,2
B-Bushy,Naruto,2
Kurenai,Orochimaruwere,2
Kurenai,Mizukiwas,2
Kurenai,Mizuki,2
Genma,Uchiha,2
Genma,Sasuke,2
Naruto,methat,2
Naruto,melike,2
Naruto,meetOrochimaru,2
Naruto,meanShino,2
FATSO~,~FATSO,2
FATSO~,PLACECHOJI,2
FATSO~,Naruto,2
FATSO~,JIROBO,2
Enma,Transform,2
Enma,Sarutobi,2
Iruka,Raijin,2
Isarirbi,Orochimaru,2
Isaribigo,Naruto,2
Kuni,Ninja,2
Kuni,Kunijiro,2
Shikamaru,me,2
Shikamaru,lno,2
Ayame,meto,2
Ayame,The,2
Ayame,Shinobi,2
Ayame,Choji,2
Ayame,Ayameback,2
Kunoichi,Sasuke,2
Isaribi,mewho,2
Isaribi,Sea,2
Shikamaru,Shizune,2
Shijimi,the,2
Kunihisato,a-Ninja,2
Asuma,Guy,2
Asuma,Tsunade,2
Orochimaru,toOrochimaru,2
Orochimaru,saru,2
Genma,Raido,2
Genjutsu,Shikamaru,2
Genin,Kurenai,2
Natsuboshi,Natsuhiboshi,2
Narutowill,Neji,2
Narutotry,Sasuke,2
Genin,ofJonin,2
Asuma,Temari,2
Asuma,Shino,2
Asuma,Orochimaruwere,2
Shikamaru,whereKakashi,2
Arashi,Gamakichi,2
Arashi,Fuuma,2
Konohamaru,The,2
Kunai,Sumaru,2
Kujaku,Shikamaru,2
Shino,Yamanaka,2
Shino,Unkai,2
Asuma,Mizukiwas,2
Asuma,Lee,2
Asuma,Kiba,2
Asuma,Iruka,2
Asuma,Hokage,2
Itachi,Orochimaruever,2
Konohamaru,isNaruto,2
Konohamaru,Tsunadeto,2
Konohamaru,Transform,2
Komei,The,2
Komei,Tenten,2
JIROBO,PLACECHOJI,2
JIROBO,Naruto,2
Izumo,Uchiha,2
Itachiwho,Sasuke,2
Itachiwho,Raiga,2
Asia,Gosunkugi,2
Arashiyou,Sakura,2
Arashiyou,Naruto,2
Arashimight,Orochimaru,2
Arashimight,Naruto,2
Shino,lno,2
Shino,entireKagetsu,2
Shino,removingKurenai,2
Arashi,Orochimarufor,2
Itachi!And,Kisame,2
Itachi,Zabuzahad,2
Konohamaru,Kurenai,2
Komei,–,2
Narutoall,Tsunade,2
Naruto,~FATSO,2
Naruto,withNaruto,2
Fang,Shikamaru,2
Fang,Naruto,2
Natsuhiboshi,The,2
Fever,Tsunade,2
Fatty,Shikamaru,2
Fatty,Naruto,2
Farewell,Shura,2
Farewell,Naruto,2
Komei,Warrior,2
Natsuhi,the,2
Genin,Leaf,2
Genin,Kurosuki,2
First,Orochimaru,2
Fifth,Tsunade,2
Fifth,Sasuke,2
Fifth,Naruto,2
Fifth,Hokage,2
Orochimaru,andSasame,2
Aoi,Jirocho,2
Aoi,Chunin,2
Shinobi,The,2
Janin,and,2
Janin,Kikunojou,2
Konohamaru,Saru,2
Itachi!And,Sasuke,2
Anko,Kabuto,2
Anko,Hayate,2
Anko,Corpses,2
Kisame,Pervy,2
Jako,Ryudouin,2
JIROBO,~FATSO,2
Komei,Shuriken,2
Sitting,Tsunade,2
Shuriken,Zabuza,2
Shukaku,the,2
Shukaku,Yashamaru,2
Anko,–,2
Shizune,caughtNaruto,2
Farewell,Gantetsu,2
Orochimaru,measureSasuke,2
Orochimaru,inu,2
Anbu,Anko,2
Jibachi,Naruto,2
Jibachi,Kurobachi,2
Jerk,Sasuke,2
Sumaru,whatNeji,2
Orochimaru,aboutOrochimaru,2
Genin,Kibaand,2
Genin,Hokage,2
Genin,Hinataunder,2
Genin,Hiashi,2
Nawakiand,Orochimaru,2
Gato,Sakura,2
Ne,tori,2
Ne,tatsu,2
Sumaru,methe,2
Sumaru,leaveSumaru,2
Jigumo,Orochimaru,2
Jigumo,Kamikiri,2
Tazuna,toNaruto,2
Gekko,Sakura,2
Gatô,Naruto,2
Orochimaru,idiotsJirobo,2
Orochimaru,getlsaribi,2
Flames,Todoroki,2
Neji,Number,2
Orochimaru,Tyson,2
Orochimaru,Tsunadedo,2
Orochimaru,That,2
Fourth,the,2
Tazuna,Uchiha,2
Anbu,Naruto,2
Anbu,Kankuro,2
The,Yagura,2
Kimimaro,Tayuya,2
Jiga,Yurinojou,2
Jiga,Ruigaand,2
Jira-chan,Pervy,2
Jin,Tatsu,2
Jin,Sharingan,2
Jin,Saru,2
Jiraiya,Oli,2
Jiraiya,Katsuyu,2
Jiraiya,Jiraiyawill,2
Jiraiya,Jiraiyacould,2
Kin,aboutDosu,2
Kin,Zaku,2
Jin,Naruto,2
Jin,Jutsu,2
Gantetsu,Rock,2
Tokichi,Tokichishall,2
Toki,isShikamaru,2
Todoroki,the,2
Akio,Bushy,2
Jiraiyacould,Naruto,2
Jiraiya,wordsGaara,2
The,Warrior,2
That,the,2
Amaterasu,Tsukuyomi,2
Amachi,Toad,2
Teuchi,the,2
Tenten,Yagura,2
Temari,forGaara,2
Temari,Uchiha,2
Akio,fromSakura,2
Jiraiya,Shinobi,2
Jiraiya,Sakura,2
Tora,U,2
Fourth,Rasengan,2
Fourth,Hoshikage,2
Gatsu,Tokichishall,2
Gatsu,Sazanami,2
Gatsu,Naruto,2
Gato,the,2
Gato,The,2
Gato,Sharingan,2
Orochimaru,Sasukewhile,2
Orochimaru,Sasukethat,2
Fujin,Ton,2
Fujin,Sannin,2
Gantetsu,Uzumaki,2
Tora,lnu,2
Tora,forKakashi,2
Kikunojou,Kikunojouwill,2
Jiraiya,underGaara,2
Jiraiya,Yogabut,2
Jiraiya,Tyson,2
Kimimaro,Naruto,2
Killer,a,2
Jirobo,Kiba,2
Jirobo,Kakashi,2
Jiraiyato,Sasame,2
Jiraiyais,Naruto,2
Jiraiyacould,That,2
Jiraiyacould,Orochimaru,2
Kikunojou,Yurinoshin,2
Jiraiya,That,2
Kikunojou,Shizune,2
Akatsuki,Tsunade,2
Akatsuki,Sage,2
Akatsuki,Chidori,2
Gantetsuis,Naruto,2
Gantetsu,thatGantetsu,2
Neji,Rasengan,2
Neji,Proctor,2
Neji,Pervy,2
Neji,Owashi,2
Neji,Orochimaruand,2
Orochimaru,Orochimaruwas,2
Orochimaru,Orochimaruwant,2
Fuuma,Kagero,2
Futa,Tobei,2
Fukusuke,whenJirocho,2
Jonin,Narutos,2
Kiba,on,2
Kiba,lno,2
Kiba,isAkamaru,2
Kiba,fatso,2
Jirobo,norKidomaru,2
Jirobo,Orochimaru,2
Kidomaru,the,2
Kidomaru,idiotsJirobo,2
Kidomaru,Tayuya,2
Akamaru,lno,2
Tracker,Zabuza,2
Kibaor,Naruto,2
Jonin,Kakashi,2
Jirocho,Tsunade,2
Kikunojou,Yurinojou,2
Jirocho,Sentaif,2
Jirocho,Sasuke,2
Jirocho,Ninja,2
Jonin,Sensei,2
Jonin,Ninja,2
Orochimaru,Orochimarujust,2
Fujin,Ninjareally,2
Fuki,Ran,2
Fuki,Ninja,2
Orochimaru,Sage,2
Orochimaru,Raido,2
Orochi,Orochimaru,2
Onbu,Tsunade,2
Gaara,Hinata,2
Gaara,Hatake,2
Gaara,Gaarawas,2
